#rank,UTF8,SJIS,EUCJP
1,E381AE,A4CE,82CC
1,E383BC,A1BC,815B
1,E38081,A1A2,8141
1,E383B3,A5F3,8393
1,E381AB,A4CB,82C9
1,E38082,A1A3,8142
1,E3828B,A4EB,82E9
1,E3819F,A4BF,82BD
1,E5B9B4,C7AF,944E
1,E381A8,A4C8,82C6
1,E38197,A4B7,82B5
1,E38184,A4A4,82A2
1,E381AF,A4CF,82CD
1,E38292,A4F2,82F0
1,E383AB,A5EB,838B
1,E382B9,A5B9,8358
1,E381A7,A4C7,82C5
1,E381A6,A4C6,82C4
1,E383BB,A1A6,8145
1,E3818C,A4AC,82AA
1,EFBC88,A1CA,8169
1,EFBC89,A1CB,816A
1,E38388,A5C8,8367
1,E383AA,A5EA,838A
1,E697A5,C6FC,93FA
1,E382A4,A5A4,8343
1,E381AA,A4CA,82C8
1,E3828C,A4EC,82EA
1,E382A2,A5A2,8341
1,E382AF,A5AF,834E
1,E383A9,A5E9,8389
1,E69C88,B7EE,8C8E
1,E38383,A5C3,8362
1,E3818B,A4AB,82A9
1,E38195,A4B5,82B3
1,E38289,A4E9,82E7
1,E38199,A4B9,82B7
1,E3828A,A4EA,82E8
1,E381A3,A4C3,82C1
1,E38389,A5C9,8368
1,E383AC,A5EC,838C
1,E382B8,A5B8,8357
1,E38182,A4A2,82A0
1,E38395,A5D5,8374
1,E382B7,A5B7,8356
1,E382BF,A5BF,835E
1,E38282,A4E2,82E0
1,E383AD,A5ED,838D
1,E38193,A4B3,82B1
1,E5A4A7,C2E7,91E5
1,E38186,A4A6,82A4
1,E381BE,A4DE,82DC
1,E69CAC,CBDC,967B
1,E382AB,A5AB,834A
1,E38386,A5C6,8365
1,E3808C,A1D6,8175
1,E3808D,A1D7,8176
1,E5ADA6,B3D8,8A77
1,E382A3,A5A3,8342
1,E4BABA,BFCD,906C
1,E3839E,A5DE,837D
1,E38397,A5D7,8376
1,E38288,A4E8,82E6
1,E3818F,A4AF,82AD
1,E382B0,A5B0,834F
1,E383A0,A5E0,8380
1,E38387,A5C7,8366
1,E38390,A5D0,836F
1,E382B3,A5B3,8352
1,E59BBD,B9F1,8D91
1,E382AA,A5AA,8349
1,E3818D,A4AD,82AB
1,E382B5,A5B5,8354
1,E382A6,A5A6,8345
1,E3838B,A5CB,836A
1,E4BC9A,B2F1,89EF
1,E383A1,A5E1,8381
1,E4B8AD,C3E6,9286
1,E38293,A4F3,82F1
1,E587BA,BDD0,8F6F
1,E38396,A5D6,8375
1,E4B880,B0EC,88EA
1,E38393,A5D3,8372
1,E383A3,A5E3,8383
1,E3838A,A5CA,8369
1,E38381,A5C1,8360
1,E5B882,BBD4,8E73
1,E88085,BCD4,8ED2
1,E383A5,A5E5,8385
1,E382AD,A5AD,834C
1,E4BD9C,BAEE,8DEC
1,E3818A,A4AA,82A8
1,E5908D,CCBE,96BC
1,E382A8,A5A8,8347
1,E3808E,A1D8,8177
1,E983A8,C9F4,9594
1,E3808F,A1D9,8178
1,E38281,A4E1,82DF
1,E38191,A4B1,82AF
1,E382BA,A5BA,8359
1,E794A8,CDD1,9770
1,E59CB0,C3CF,926E
1,E381A4,A4C4,82C2
1,E38380,A5C0,835F
